CH_SERIAL_NUMBER,GEM_NUM,POSITION,CH_TYPE,FLIP,AMC,OH,FLOW_METER,RUN_NUMBER
GE1/1-X-L-CERN-0009,11201,1/1/B,L,0,2,2,5.0,237
GE1/1-X-L-GHENT-0002,11101,1/1/T,L,0,2,3,5.0,237
GE1/1-X-L-GHENT-0007,11203,2/1/B,L,0,2,4,2.4,237
GE1/1-X-L-CERN-0014,11103,2/1/T,L,0,2,5,2.4,237
GE1/1-X-L-PAK-0006,11205,3/1/B,L,0,2,6,2.7,237
GE1/1-X-L-PAK-0007,11105,3/1/T,L,0,2,7,2.7,237
GE1/1-X-L-GHENT-0013,11207,4/1/B,L,0,2,8,0.0,237
GE1/1-X-L-CERN-0028,11107,4/1/T,L,0,2,9,0.0,237
GE1/1-X-L-GHENT-0006,11209,5/1/B,L,0,2,10,2.6,237
GE1/1-X-L-CERN-0027,11109,5/1/T,L,0,2,11,2.6,237
GE1/1-X-S-BARI-0016,11211,1/2/B,S,0,4,2,2.0,237
GE1/1-X-S-BARI-0002,11111,1/2/T,S,0,4,3,2.0,237
GE1/1-X-S-FIT-0001,11213,2/2/B,S,0,4,4,2.1,237
GE1/1-X-S-BARI-0005,11113,2/2/T,S,0,4,5,2.1,237
GE1/1-X-S-CERN-0009,11215,3/2/B,S,0,4,6,2.5,237
GE1/1-X-S-CERN-0010,11115,3/2/T,S,0,4,7,2.5,237
GE1/1-X-S-CERN-0008,11217,4/2/B,S,0,4,8,2.6,237
GE1/1-X-S-INDIA-0007,11117,4/2/T,S,0,4,9,2.6,237
GE1/1-X-S-BARI-0009,11219,5/2/B,S,0,4,10,2.5,237
GE1/1-X-S-BARI-0010,11119,5/2/T,S,0,4,11,2.5,237
GE1/1-X-S-PAK-0005,11221,1/3/B,S,0,6,2,1.9,237
GE1/1-X-S-PAK-0007,11121,1/3/T,S,0,6,3,1.9,237
GE1/1-X-S-INDIA-0004,11223,2/3/B,S,0,6,4,2.0,237
GE1/1-X-S-INDIA-0009,11123,2/3/T,S,0,6,5,2.0,237
GE1/1-X-S-INDIA-0014,11225,3/3/B,S,0,6,6,1.7,237
GE1/1-X-S-INDIA-0015,11125,3/3/T,S,0,6,7,1.7,237
GE1/1-X-S-INDIA-0005,11227,4/3/B,S,0,6,8,1.7,237
GE1/1-X-S-INDIA-0008,11127,4/3/T,S,0,6,9,1.7,237
GE1/1-X-S-BARI-0001,11229,5/3/B,S,0,6,10,1.8,237
GE1/1-X-S-BARI-0011,11129,5/3/T,S,0,6,11,1.8,237
